,Brand,Model,Mileage,Year,Price,Price Drop
114,Lexus,GX,28139,2019,44969,FALSE
115,Nissan,Sentra,115115,2015,7550,FALSE
116,Mercedes-Benz,S-Class,35000,2019,79901,FALSE
117,Acura,ZDX,117791,2013,18995,FALSE
118,Mercedes-Benz,C-Class,46935,2011,13838,FALSE
119,Mercedes-Benz,CLA,33515,2018,29903,FALSE
120,Jeep,Grand Cherokee,71290,2019,26995,FALSE
121,Mercedes-Benz,C-Class,12804,2021,48470,FALSE
122,Toyota,Corolla,79595,2016,13995,FALSE
123,Hyundai,Elantra,46453,2020,17797,FALSE
124,Jeep,Wrangler,54650,2016,29286,FALSE
125,Chevrolet,Malibu,56240,2020,20397,FALSE
126,Lexus,NX,28228,2019,33969,FALSE
127,Mercedes-Benz,GLS,20875,2018,70902,FALSE
128,Nissan,Rogue,39043,2019,24739,FALSE
129,Mercedes-Benz,GLE,28454,2018,44901,FALSE
130,Kia,Soul,65417,2019,15897,FALSE
131,Mercedes-Benz,GLC,36912,2019,37886,FALSE
132,Chrysler,200,57145,2015,13542,FALSE
133,Volkswagen,Jetta,27659,2017,16686,FALSE
134,Porsche,Macan,27364,2017,43995,FALSE
135,BMW,3 Series,66700,2016,17995,FALSE
136,Lexus,NX,55872,2019,33569,FALSE
137,Mercedes-Benz,E-Class,22467,2018,63902,FALSE
138,Mercedes-Benz,GLC,26130,2018,36903,FALSE
139,Chrysler,Pacifica,31820,2018,26995,FALSE
140,Mercedes-Benz,S-Class,24946,2019,82901,FALSE
141,Dodge,Durango,30898,2018,34495,FALSE
142,Mercedes-Benz,GLA,7444,2019,36901,FALSE
143,Chevrolet,Malibu,38855,2020,21297,FALSE
144,BMW,X5,38925,2015,30995,FALSE
145,BMW,4 Series,33311,2019,36450,FALSE
146,INFINITI,QX60,25841,2018,32490,FALSE
147,Audi,A4,46881,2018,29886,FALSE
148,Toyota,Corolla,37091,2020,19797,FALSE
149,Mercedes-Benz,GLS,50372,2017,41686,FALSE
150,Toyota,Corolla,44098,2020,19197,FALSE
151,Nissan,Rogue,30606,2019,22595,FALSE
152,Hyundai,Sonata,34240,2019,18495,FALSE
153,Nissan,Pathfinder,125923,2018,16995,FALSE
154,Lexus,RX,37100,2019,40686,FALSE
155,Nissan,Sentra,73033,2019,14995,FALSE
156,Mercedes-Benz,GLE,18234,2017,42901,FALSE
157,Nissan,Rogue,43179,2018,20995,FALSE
158,Toyota,Camry,31812,2019,23995,FALSE
159,Mercedes-Benz,GLC,21840,2019,38886,FALSE
160,Mercedes-Benz,GLC,12141,2021,50305,FALSE
161,Land Rover,Range Rover,74332,2011,19995,FALSE
162,Ford,Fusion,44520,2019,20997,FALSE
163,Mercedes-Benz,C-Class,30913,2018,33901,FALSE
164,Volvo,XC60,25085,2019,38323,FALSE
165,Honda,Accord,109710,2015,14995,FALSE
166,Mercedes-Benz,Sprinter Cargo Van,9705,2020,48146,FALSE
167,Jeep,Compass,153503,2015,9485,FALSE
168,Mercedes-Benz,E-Class,7900,2021,63901,FALSE
169,Toyota,4Runner,30177,2021,49869,FALSE
170,Porsche,Macan,25925,2018,49500,FALSE
171,Mercedes-Benz,GLC,46357,2017,34903,FALSE
172,Subaru,Crosstrek,65282,2018,22995,FALSE
173,Porsche,Macan,4114,2021,59995,FALSE
174,Honda,Accord,46612,2017,19995,FALSE
175,Hyundai,Tucson,59636,2007,7250,FALSE
176,Porsche,Macan,17594,2019,55500,FALSE
177,Volvo,XC90,11880,2019,49694,FALSE
178,Porsche,Macan,35563,2018,47995,FALSE
179,Dodge,Journey,11644,2019,21995,FALSE
180,Nissan,Rogue,33834,2018,23488,FALSE
181,Volvo,XC60,42015,2019,36244,FALSE
182,INFINITI,Q50,45869,2018,24998,FALSE
183,Honda,HR-V,28304,2019,23995,FALSE
184,Nissan,Rogue,28053,2018,23998,FALSE
185,Jeep,Compass,43100,2020,25197,FALSE
186,Volkswagen,Atlas,143385,2018,19590,FALSE
187,Volvo,XC60,16318,2019,44594,FALSE
188,Mercedes-Benz,CLS,51340,2014,30995,FALSE
189,Ford,Mustang,34406,2020,26495,FALSE
190,Jeep,Renegade,41233,2018,18995,FALSE
191,Kia,Forte,104968,2015,8995,FALSE
192,Audi,Q5,56824,2015,23686,FALSE
193,Mercedes-Benz,GLC,38374,2019,38901,FALSE
194,Mercedes-Benz,SLC,10080,2019,49995,FALSE
195,Nissan,Rogue,20841,2018,23998,FALSE
196,Jeep,Compass,192405,2016,8995,FALSE
197,Porsche,Cayenne,36432,2019,69500,FALSE
198,Mercedes-Benz,GL,99603,2016,28995,FALSE
199,Mercedes-Benz,C-Class,16743,2018,34901,FALSE
200,Porsche,911,31385,2015,91995,FALSE
201,Toyota,RAV4,14673,2019,32569,FALSE
202,Mercedes-Benz,GLS,37320,2019,60901,FALSE
203,Mercedes-Benz,C-Class,36058,2020,61906,FALSE
204,Jeep,Grand Cherokee,34551,2019,35900,FALSE
205,Volkswagen,Jetta,21645,2019,22597,FALSE
206,Chevrolet,Silverado 1500,136520,2011,9999,FALSE
207,Mercedes-Benz,E-Class,53590,2018,32990,FALSE
208,Volvo,XC60,13635,2019,40995,FALSE
209,Porsche,Cayenne,25852,2019,69995,FALSE
210,Mercedes-Benz,CLS,17495,2019,64901,FALSE
211,Lexus,ES,16108,2018,32269,FALSE
212,Mercedes-Benz,GLE,15523,2020,59901,FALSE
213,Toyota,Highlander,35356,2019,37794,FALSE
214,Bentley,Bentayga,21499,2018,165000,FALSE
215,Lexus,RX,17248,2019,41869,FALSE
216,Toyota,Corolla,37181,2021,20297,FALSE
217,Porsche,Panamera,13629,2018,79995,FALSE
218,Porsche,Macan,39903,2018,42998,FALSE
219,Volvo,XC90,27104,2019,47784,FALSE
220,Nissan,Sentra,25517,2019,15740,FALSE
221,Honda,Civic,19850,2019,19995,FALSE
222,Bentley,Continental,4704,2020,249995,FALSE
223,Toyota,RAV4,187753,2005,5500,FALSE
224,Nissan,Sentra,35680,2019,13495,FALSE
225,Lexus,GX,45813,2018,39969,FALSE
226,Honda,Odyssey,155000,2005,3995,FALSE
227,Mercedes-Benz,GLC,31847,2019,39901,FALSE
228,Nissan,Rogue,26343,2018,23788,FALSE
229,Ford,F-150,199804,2014,12395,FALSE
230,Mercedes-Benz,GLS,25383,2019,61901,FALSE
231,Nissan,Rogue,25890,2018,23998,FALSE
232,Porsche,911,39093,2013,80495,FALSE
233,Mercedes-Benz,GLE,18421,2018,45901,FALSE
234,Nissan,Rogue,37442,2019,22995,FALSE
235,Mercedes-Benz,GLE,27320,2019,47906,FALSE
236,Mercedes-Benz,CLS,3595,2019,67902,FALSE
237,Ford,Explorer,57772,2016,24995,FALSE
238,Nissan,Rogue,39889,2019,20995,FALSE
239,Mercedes-Benz,GLS,37072,2019,60901,FALSE
240,Nissan,Versa,75210,2016,6950,FALSE
241,Mercedes-Benz,M-Class,46845,2015,27686,FALSE
242,Volkswagen,Tiguan,39648,2020,26097,FALSE
243,BMW,4 Series,47002,2018,26995,FALSE
244,Ford,Focus,110058,2017,7800,FALSE
245,Volkswagen,Jetta,37220,2020,18997,FALSE
246,Audi,SQ5,74726,2014,24995,FALSE
247,Toyota,Camry,53807,2020,21897,FALSE
248,BMW,X2,27212,2018,28704,TRUE
249,Kia,Sedona,129395,2016,9900,FALSE
250,Mercedes-Benz,GLB,9459,2021,43975,FALSE
251,Jeep,Cherokee,69685,2014,18495,FALSE
252,Porsche,Macan,11976,2019,66995,FALSE
253,Porsche,Macan,32806,2018,66995,FALSE
254,Hyundai,Kona,13528,2020,23117,FALSE
255,Mercedes-Benz,C-Class,85255,2019,29995,FALSE
256,Mercedes-Benz,C-Class,35460,2018,33901,FALSE
257,Lexus,RX,16113,2018,38969,FALSE
258,Volvo,XC60,19131,2019,38994,FALSE
259,Ford,F-150,233256,2013,8599,FALSE
260,Mercedes-Benz,C-Class,72200,2018,22995,FALSE
261,Ford,F-150,139937,2013,17542,FALSE
262,Nissan,Rogue,35911,2019,20800,FALSE
263,Mercedes-Benz,GLC,11147,2019,42901,FALSE
264,Volvo,XC60,29241,2019,39944,FALSE
265,Nissan,Sentra,41535,2019,16895,FALSE
266,Mercedes-Benz,GLS,24333,2019,62901,FALSE
267,Subaru,Forester,51771,2019,28998,FALSE
268,Ford,Mustang,36779,2014,18942,FALSE
269,Subaru,Legacy,128048,2015,9995,FALSE
270,Subaru,Legacy,128048,2015,9995,FALSE
271,Ford,Econoline Cargo Van,105678,2012,17995,FALSE
272,Kia,Sorento,42989,2020,24597,FALSE
273,Toyota,Corolla,30443,2019,18995,FALSE
274,Lexus,RX,29675,2019,37542,FALSE
275,Nissan,Murano,16514,2018,20999,FALSE
276,Mercedes-Benz,GLS,25495,2019,61901,FALSE
277,Honda,Civic,78133,2015,12990,FALSE
278,Lexus,RX,30423,2019,37504,FALSE
279,Nissan,Rogue,35943,2019,20995,FALSE
280,Mazda,CX-5,25213,2018,23495,FALSE
281,Ford,F-150,84091,2014,24995,FALSE
282,Lexus,RX,29156,2019,38427,FALSE
283,Nissan,Rogue,28057,2018,22395,FALSE
284,Jeep,Cherokee,108263,2019,19888,FALSE
285,Mercedes-Benz,GLS,35275,2018,54901,FALSE
